START report: Thu Oct 19 00:44:36 2017 
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR2_ESC11.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR2_ESC11.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR2_ESC11.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR2_ESC11.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR2_ESC11.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR2_ESC11.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR1_ESC12.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR1_ESC12.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR1_ESC12.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR1_ESC12.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR1_ESC12.MN2": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR1_ESC12.MN2": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR1_ESC12.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR1_ESC12.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR1_ESC12.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR1_ESC12.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR1_ESC12.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR1_ESC12.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q3.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR2_ESC5.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q2.X_DFLIPFLOPNOINVNEW_CIR2_ESC9.X_INVERTER_CIR1_ESC6.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 32:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 33:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP2": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 34:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MN1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 35:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.MP1": Model DFLIPFLOPNOINVNEW_CIR_ESC3.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 24:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR3_ESC4.MP1": Model INVERTER_CIR_ESC2.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 23:
+   OBJECT "X_Q1.X_DFLIPFLOPNOINVNEW_CIR1_ESC8.X_INVERTER_CIR2_ESC5.MN1": Model INVERTER_CIR_ESC2.N not yet defined.
