START report: Sat Oct 28 02:03:46 2017 
** Warning: (eldo - 1615)  In file "./sipo.cir_tsmc018a.cir" line 15:
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN2":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  RDSW = -28.4678 is negative. Should be set to zero, set PARAMCHK=1 to enable clipping.

** Warning: (eldo - 240)  OBJECT "X_DFF1.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.MN1":  Rds at current temperature = -28.4678 is negative. Set to zero.

